index,id,tweets,likes,time
48,1530742345289052160,@SheQuantum @NithyasriSriva @TechXLR8 @IMDAsg @NUSingapore @AuburnU @BostonCollege @BU_Tweets @IQIM_Caltech @PGHQuantum @ChapmanU @coschoolofmines @ColumbiaQuantum @dartmouth @HarrisburgU @HU_COAS @rctmpx @CQE_MIT @MITLL @NorthwesternU @SIUCPhysics,0,2022-05-29 02:46:29
49,1530739156821118976,"@SheQuantum @NithyasriSriva @TechXLR8 @IMDAsg @NUSingapore @TH_Deggendorf @qbraid_official @ISARACorp @LSU @lsuscience @LSUphysastro
@BusinessFinland @FinlandinIndia @helsinkiuni @VTTFinland
@dartmouth @thayerschool @JDWhitfield11 @qbraid_official @QFarmStanford",0,2022-05-29 02:33:49
50,1530738435929120770,"Exactly 10.5 years after arriving at @dartmouth as a Research Assistant I, I've finally completed my chapter here. Time to throw MD on that stitch! https://t.co/ezbN8TN3wZ",121,2022-05-29 02:30:57
51,1530734865435758592,"Quick everyone! Apply for this before it closes on 31 May! 
CFP: Animal Modernities - processes and practices of visual production circa 1750-1900. Held at Dartmouth College, October 13, 2022. https://t.co/RgcFgs1mdh.",0,2022-05-29 02:16:46
52,1530715256921522176,"and here is the man himself. thank you for courage and inspiration, William Kamkwamba
@wkamkwamba
Dartmouth College class of 2014 and Windmill Builder in Malawi.
San Francisco, CAwilliamkamkwamba.comJoined February 2009",0,2022-05-29 00:58:51
53,1530700685330763777,"Vintage First Day of Issue Postage Stamps American Legion, Dartmouth College, Easter Seal Society, Women's Right To Vote, United Nations, UN https://t.co/CRIMMuun9t #Vintage #Collectibles #Etsy #Curios #BestOffer #AtticEsoterica #AmericanLegion https://t.co/5dbGaztqvr",1,2022-05-29 00:00:57
54,1530696503727120385,@BryanMarquard @dartmouth @dartmouthsports I went to D. -,1,2022-05-28 23:44:20
55,1530687244020891651,@GoldretrieverUS @dartmouth @dartmouthsports That makes no sense.,1,2022-05-28 23:07:32
56,1530687046867910656,@GoldretrieverUS @dartmouth @dartmouthsports Yup.,0,2022-05-28 23:06:45
57,1530677612577628166,@BryanMarquard @dartmouth @dartmouthsports Rutland..eh?,2,2022-05-28 22:29:16
58,1530677410248933376,"@BryanMarquard @dartmouth @dartmouthsports Mine too, Brian.  
Women had to share trainers/ training room w Dfootball.  Want to talk abt a crazy situation",2,2022-05-28 22:28:27
59,1530640847691485184,"Just a kid from Northside, Houston, TX dropping some Swishahouse, Selena, Reileros, Tigres Del Norte &amp; Vicente at Dartmouth College for my presentation “Life in the Hyphen.” 🤘🏽

In gratitude for what I experienced the past two days at the Mexico Music Symposium! https://t.co/cRRuMukw2I",22,2022-05-28 20:03:10
60,1530593577709060105,"@BryanMarquard @dartmouth @dartmouthsports Awesome
Been to Rutland VT back in 1988 
Is that the town that has the cool quarry and the beautiful carved tombstones or is that another town.
Sorry it's been a long time",0,2022-05-28 16:55:20
61,1530587944557461506,"A slice of my past: Leverone Field House at @dartmouth / @dartmouthsports where my Rutland (Vt.) High School indoor track team held meets nearly 50 years ago. Maybe the team still does so. Loved the track, was always nervous before meets. #Throwback https://t.co/4N5oOq6Mg2",10,2022-05-28 16:32:57
62,1530584274239336448,@Dartmouth_MIH @dbuffalo31 @dartmouth Your hockey announcer Rob Kennedy is supporting conspiracy theories about 19 murdered kids. Not a good look @dartmouth @Dartmouth_MIH,0,2022-05-28 16:18:22
63,1530510238721384448,"2/  Shonda Rhimes

School: Dartmouth College

""The world has plenty of dreamers. And while they are busy dreaming, the really happy people, the really successful people, the really interesting, engaged, powerful people, are busy doing.""

https://t.co/YcE21gT9jD",39,2022-05-28 11:24:11
64,1530503341117145090,So great to speak to the @dartmouth creative writing class about some aspects of writing The Eternal Audience of One. Always great to meet and learn from other writers.,13,2022-05-28 10:56:46
65,1530472708009492480,"@TheDemocrats @Yale @Harvard_Law @dartmouth @Princeton @Cornell @CNN 
THERE ARE $500 BILL REMAINING IN UNUSED COVID FUNDS! USE THEM FOR SCHOOL SECURITY ACCROSS THE COUNTRY....NOW! ALSO, INFRASTRUCTURE $ YOU ALWAYS TOUT! PUT OUR MONEY WHERE YOUR MOUTHS ARE! https://t.co/oNu6OHCJEc",0,2022-05-28 08:55:03
66,1530375171873325058,"Muy emocionante estar en @HopkinsCenter de @dartmouth para el estreno mundial de las fantásticas obras de los compositores mexicanos  @jpcomposer ,  @RodrigoMtzUwU y de Nubia Jaime! Felicidades! @ConsulmexBoston https://t.co/5bSBFhSnhK",33,2022-05-28 02:27:28
67,1530374338959970304,#PrincetonUniversity #CaliforniaInstituteofTechnology #DartmouthCollege #WakeForestUniversity #BrandeisUniversity #BostonCollege #GeorgiaInstituteofTechnology #LehighUniversity #UniversityofRochester #CaseWesternReserveUniversity #UniversityofTexasAustin https://t.co/sRTzxzHgon,0,2022-05-28 02:24:10
68,1530374242834845697,#CaliforniaInstituteofTechnology #UniversityofPennsylvania #UniversityofChicago #DartmouthCollege #DartmouthCollege #NorthwesternUniversity #WashingtonUniversityinStLouis #CornellUniversity #BrownUniversity #UniversityofNotreDame #VanderbiltUniversity #UniversityofFlorida https://t.co/lmITLRjqki,0,2022-05-28 02:23:47
69,1530373530394603521,#CornellUniversity #BrownUniversity #UniversityofNotreDame #VanderbiltUniversity #UniversityofFlorida #PrincetonUniversity #CaliforniaInstituteofTechnology #DartmouthCollege #WakeForestUniversity #BrandeisUniversity #CaseWesternReserveUniversity #UniversityofTexasAustin https://t.co/oaG8LjlOue,0,2022-05-28 02:20:57
70,1530373470856523776,#StThomsaUniversity #GeorgeBrownCollege #NiagaraCollege #AlgonquinCollege #CapeBretonUniversity #CaliforniaInstituteofTechnology #UniversityofPennsylvania #UniversityofChicago #DartmouthCollege #DartmouthCollege #NorthwesternUniversity #WashingtonUniversityinStLouis https://t.co/cJW1fSLw5l,0,2022-05-28 02:20:43
71,1530358538761035776,"The original Dismas model in Nashville, Tennessee emphasized the importance of student involvement. This model has proven effective over decades and we are happy that our relationship with Dartmouth College grows stronger every year. #futureleaders https://t.co/WHYHTL9JTf",1,2022-05-28 01:21:22
72,1530317466840219650,"@afierrog @ConsulmexBoston @dartmouth @IME_SRE Saludos desde Hanover, que lastima que no los pude saludar. 🥹",0,2022-05-27 22:38:10
73,1530308715798315009,"En @dartmouth se presentó el libro “Manos que hablan. Voces de las granjas lecheras” de Maria Clara de Graff, galardonada por su activismo, con fotos de J.C. Alvarez. @IME_SRE @ConsulmexBoston https://t.co/utT7yQMiJY",17,2022-05-27 22:03:24
74,1530296918492033024,"Our Mock Trial Society’s members got a shout out for their awards! Check out the article here: https://t.co/00WCH4oFaa

@thedartmouth @dartmouth #dartmouthmock https://t.co/if0XYu6DYc",9,2022-05-27 21:16:31
75,1530296905124691969,"As summer approaches, consider joining us for one of our camps here at Dartmouth College

https://t.co/JxUAHruqgT

Open to any and all.",1,2022-05-27 21:16:28
76,1530277210447298562,"@TheDemocrats @dscc @DNC  @HouseDemocrats @Yale @GOP @dartmouth @Harvard @CNN @MSNBC Today's Democrats; Mandates, inflation, domestic oil/ gas production cut, gas up to $5+/ gal and rising, they shouted DEFUND, weakened our criminal justice system, crime  https://t.co/WtclgmShRZ",0,2022-05-27 19:58:12
77,1530274119572283393,"The recordings of Prof. Allan's talks are now online! 
https://t.co/M2UZmJVpV1
@UCBerkeleyEALC @dartmouth #chinesestudies #ancientchina https://t.co/V00JmGBD4s",6,2022-05-27 19:45:55
78,1530269088370638850,"On certain days, the ⁦@dartmouth⁩ bell tower plays certain well-known songs. Can you guess today’s theme? https://t.co/P6Pms3HVUv",3,2022-05-27 19:25:56
79,1530262589850193920,"Feature Friday: Rodolfo Araujo, CFA, Senior Managing Director, @FTIConsulting 

-M.B.A. from @TuckSchool at @dartmouth 
-M.A. in Marketing from @espm 
-B.A. in Communication from @unicaes_sv

Join Rodolfo, and experts from @NAVEXInc &amp; @Applied4Tech on 6/8
https://t.co/vYMWvgGJBR https://t.co/omnUBOhBcV",0,2022-05-27 19:00:06
80,1530261395731791873,"Senior Associate Dean for Foundational Research-Hanover, New Hampshire (US)-Dartmouth College, Geisel School of Me https://t.co/ZvsxFXhQZp",0,2022-05-27 18:55:22
81,1530261026427457536,"Vintage First Day of Issue Postage Stamps American Legion, Dartmouth College, Easter Seal Society, Women's Right To Vote, United Nations, UN https://t.co/sPK2pXjvWI via @Etsy",0,2022-05-27 18:53:54
82,1530227485048295425,"Cp🏈: Thanks to Dartmouth College for stopping by The Nest today to check on our Scholar Athletes!
#WingsUp https://t.co/Vu7s2yTD6w",6,2022-05-27 16:40:37
